feature_a,feature_b,group_a,group_b,mean_abs_interaction
pct_low_income,pct_ling_isolated,Community & EJ context,Community & EJ context,0.010351460225229519
superfund_proximity,nbr_count_25km,Local sources,Regional PM signal,0.010296638382241685
nbr_pm25_25km,month_sin,Regional PM signal,Season & calendar,0.0102671268423821
superfund_proximity,nbr_pm25_25km,Local sources,Regional PM signal,0.010210941076956592
nbr_std_50km,nbr_count_100km,Regional PM signal,Regional PM signal,0.010200706847768928
pct_low_income,latitude,Community & EJ context,Geography,0.010105056688542453
diesel_pm_proximity,nbr_pm25_25km,Local sources,Regional PM signal,0.010067297864312603
precipitation,nbr_pm25_100km,Meteorology,Regional PM signal,0.009880353627100982
humidity,cams_pm25,Meteorology,Regional PM signal,0.009718252171115877
ejf_score,diesel_pm_proximity,Community & EJ context,Local sources,0.009677984911307103
pct_low_income,superfund_proximity,Community & EJ context,Local sources,0.009621657424686842
pct_low_income,nbr_count_100km,Community & EJ context,Regional PM signal,0.009572915089342188
pct_ling_isolated,nbr_count_50km,Community & EJ context,Regional PM signal,0.009552400602792315
longitude,nbr_count_50km,Geography,Regional PM signal,0.009440525831510064
pct_people_of_color,nbr_count_50km,Community & EJ context,Regional PM signal,0.00940205100147651
latitude,nbr_std_50km,Geography,Regional PM signal,0.009368393799444473
dist_to_coast,nbr_count_25km,Geography,Regional PM signal,0.00930595000577427
nbr_count_25km,nbr_pm25_100km,Regional PM signal,Regional PM signal,0.00930521379093991
pressure,nbr_pm25_25km,Meteorology,Regional PM signal,0.009301638388747221
hms_smoke,aod,Wildfire smoke,Regional PM signal,0.009293172741707836
nbr_std_50km,hms_smoke,Regional PM signal,Wildfire smoke,0.009240949842508641
nbr_count_50km,aod,Regional PM signal,Regional PM signal,0.009191778314619894
diesel_pm_proximity,nbr_pm25_50km,Local sources,Regional PM signal,0.009120628112212405
temperature,nbr_pm25_25km,Meteorology,Regional PM signal,0.009056921385044155
pressure,dist_to_coast,Meteorology,Geography,0.00905065651650331
superfund_proximity,latitude,Local sources,Geography,0.009023077677965435
ejf_score,nbr_count_100km,Community & EJ context,Regional PM signal,0.008978140846916647
traffic_proximity,dist_to_nearest_sensor,Local sources,Geography,0.00897259773547129
dist_to_coast,nbr_count_50km,Geography,Regional PM signal,0.008962016425002113
diesel_pm_proximity,cams_pm25,Local sources,Regional PM signal,0.008958439036146053
traffic_proximity,diesel_pm_proximity,Local sources,Local sources,0.008894188955295505
pct_people_of_color,cams_pm25,Community & EJ context,Regional PM signal,0.00880873484232703
ejf_score,latitude,Community & EJ context,Geography,0.008629316630053268
superfund_proximity,longitude,Local sources,Geography,0.008618637506716466
humidity,dist_to_coast,Meteorology,Geography,0.008597534861510653
pct_ling_isolated,nbr_count_100km,Community & EJ context,Regional PM signal,0.008534724264345414
humidity,nbr_count_50km,Meteorology,Regional PM signal,0.008510784129495876
nbr_std_50km,temp_x_humidity,Regional PM signal,Meteorology,0.008471772468816056
pct_low_income,nbr_std_50km,Community & EJ context,Regional PM signal,0.008452428729697517
superfund_proximity,nbr_pm25_50km,Local sources,Regional PM signal,0.008420259606576257
dist_to_coast,nbr_count_100km,Geography,Regional PM signal,0.00840879687026963
longitude,aod,Geography,Regional PM signal,0.008260240346588546
nbr_count_25km,nbr_count_100km,Regional PM signal,Regional PM signal,0.008206365918410641
nbr_count_50km,temp_x_humidity,Regional PM signal,Meteorology,0.00816911909653855
longitude,cams_pm25,Geography,Regional PM signal,0.008105060531035345
temperature,nbr_pm25_50km,Meteorology,Regional PM signal,0.008030740430536734
longitude,temp_x_humidity,Geography,Meteorology,0.00801806947824053
nbr_count_25km,nbr_pm25_50km,Regional PM signal,Regional PM signal,0.007952823126479935
rmp_proximity,nbr_std_50km,Local sources,Regional PM signal,0.007941914267366635
ejf_score,superfund_proximity,Community & EJ context,Local sources,0.007888451244189139
pct_people_of_color,nbr_count_100km,Community & EJ context,Regional PM signal,0.007842628410200937
humidity,aod,Meteorology,Regional PM signal,0.00783334961602834
pct_ling_isolated,dist_to_nearest_sensor,Community & EJ context,Geography,0.007829765567945922
rmp_proximity,nbr_count_50km,Local sources,Regional PM signal,0.0077901633752315656
cams_pm25,temp_x_humidity,Regional PM signal,Meteorology,0.007723277805477271
ejf_score,nbr_count_25km,Community & EJ context,Regional PM signal,0.0075618593991834526
humidity,longitude,Meteorology,Geography,0.00755440969297084
nbr_count_25km,nbr_std_50km,Regional PM signal,Regional PM signal,0.007531562431666356
pressure,pct_ling_isolated,Meteorology,Community & EJ context,0.007507553299536956
diesel_pm_proximity,nbr_count_50km,Local sources,Regional PM signal,0.0074901070491825315
pressure,nbr_std_50km,Meteorology,Regional PM signal,0.007382547806382352
dist_to_nearest_sensor,nbr_std_50km,Geography,Regional PM signal,0.007371811168228863
dist_to_coast,cams_pm25,Geography,Regional PM signal,0.007312342804292017
nbr_pm25_50km,doy_sin,Regional PM signal,Season & calendar,0.007273438112902021
ejf_score,dist_to_nearest_sensor,Community & EJ context,Geography,0.007232469637843932
ejf_score,nbr_std_50km,Community & EJ context,Regional PM signal,0.007217378678688972
humidity,temperature,Meteorology,Meteorology,0.007169210653276319
nbr_count_25km,aod,Regional PM signal,Regional PM signal,0.0070827016364078624
hms_smoke,cams_pm25,Wildfire smoke,Regional PM signal,0.007080476521396818
traffic_proximity,cams_pm25,Local sources,Regional PM signal,0.007078015091870088
cams_pm25,doy_sin,Regional PM signal,Season & calendar,0.007040277675962184
humidity,nbr_count_100km,Meteorology,Regional PM signal,0.007030834242741419
nbr_count_100km,aod,Regional PM signal,Regional PM signal,0.006977046719455605
aod,temp_x_humidity,Regional PM signal,Meteorology,0.006963814876370485
superfund_proximity,dist_to_coast,Local sources,Geography,0.006931263111750631
traffic_proximity,nbr_count_100km,Local sources,Regional PM signal,0.006905511376408932
dist_to_nearest_sensor,cams_pm25,Geography,Regional PM signal,0.0068979614223951425
pressure,nbr_count_100km,Meteorology,Regional PM signal,0.006800120426826309
nbr_count_25km,cams_pm25,Regional PM signal,Regional PM signal,0.006647981852028339
humidity,rmp_proximity,Meteorology,Local sources,0.006633116732590022
diesel_pm_proximity,nbr_std_50km,Local sources,Regional PM signal,0.006502111106142058
diesel_pm_proximity,hms_smoke,Local sources,Wildfire smoke,0.0064715471377577
pct_low_income,cams_pm25,Community & EJ context,Regional PM signal,0.006279839618334689
diesel_pm_proximity,nbr_count_25km,Local sources,Regional PM signal,0.006267300054745736
temperature,diesel_pm_proximity,Meteorology,Local sources,0.006264923378781689
ejf_score,nbr_count_50km,Community & EJ context,Regional PM signal,0.00625044039833649
traffic_proximity,nbr_count_25km,Local sources,Regional PM signal,0.006245992268617351
traffic_proximity,nbr_count_50km,Local sources,Regional PM signal,0.0062047448824732974
pct_low_income,nbr_count_50km,Community & EJ context,Regional PM signal,0.0061914987724705755
diesel_pm_proximity,nbr_count_100km,Local sources,Regional PM signal,0.006172397348542209
nbr_pm25_100km,month_sin,Regional PM signal,Season & calendar,0.006153934565353378
pct_ling_isolated,cams_pm25,Community & EJ context,Regional PM signal,0.0060535533720039204
pressure,rmp_proximity,Meteorology,Local sources,0.00573901527711188
dist_to_coast,aod,Geography,Regional PM signal,0.005720319616371106
precipitation,aod,Meteorology,Regional PM signal,0.005715792492000432
pct_people_of_color,aod,Community & EJ context,Regional PM signal,0.005638715495976307
nbr_pm25_50km,month_sin,Regional PM signal,Season & calendar,0.005628049895601369
latitude,cams_pm25,Geography,Regional PM signal,0.005569896960849397
nbr_pm25_50km,month,Regional PM signal,Season & calendar,0.00550528563643143
rmp_proximity,temp_x_humidity,Local sources,Meteorology,0.005478963248926541
cams_pm25,day_of_year,Regional PM signal,Season & calendar,0.005470021768668479
dist_to_nearest_sensor,aod,Geography,Regional PM signal,0.005435466907312912
nbr_count_50km,hms_smoke,Regional PM signal,Wildfire smoke,0.005383796493322364
doy_sin,temp_x_humidity,Season & calendar,Meteorology,0.005351904193948301
traffic_proximity,aod,Local sources,Regional PM signal,0.005248593086841684
traffic_proximity,temp_x_humidity,Local sources,Meteorology,0.005242106075709888
nbr_std_50km,day_of_year,Regional PM signal,Season & calendar,0.0052026288653215114
dist_to_nearest_sensor,temp_x_humidity,Geography,Meteorology,0.00516520576695327
pct_ling_isolated,temp_x_humidity,Community & EJ context,Meteorology,0.005154154086903395
humidity,diesel_pm_proximity,Meteorology,Local sources,0.005140321654906426
rmp_proximity,aod,Local sources,Regional PM signal,0.00512051598191872
pressure,cams_pm25,Meteorology,Regional PM signal,0.00508446612793304
temperature,day_of_year,Meteorology,Season & calendar,0.005062647691856292
traffic_proximity,nbr_std_50km,Local sources,Regional PM signal,0.005056520835806325
ejf_score,cams_pm25,Community & EJ context,Regional PM signal,0.005054641866731214
nbr_count_25km,nbr_count_50km,Regional PM signal,Regional PM signal,0.005038532132095982
rmp_proximity,cams_pm25,Local sources,Regional PM signal,0.005029435148872178
day_of_year,temp_x_humidity,Season & calendar,Meteorology,0.004902275708169753
nbr_pm25_100km,doy_cos,Regional PM signal,Season & calendar,0.004821665690435356
nbr_count_25km,temp_x_humidity,Regional PM signal,Meteorology,0.004726462821841648
pct_people_of_color,temp_x_humidity,Community & EJ context,Meteorology,0.004715199461922006
nbr_pm25_50km,doy_cos,Regional PM signal,Season & calendar,0.004703447943386983
humidity,nbr_count_25km,Meteorology,Regional PM signal,0.004700546418030996
latitude,aod,Geography,Regional PM signal,0.004677007373042745
dist_to_coast,temp_x_humidity,Geography,Meteorology,0.004673816137143406
pressure,temp_x_humidity,Meteorology,Meteorology,0.004541835666651511
pressure,longitude,Meteorology,Geography,0.004538581905735931
humidity,latitude,Meteorology,Geography,0.004448236833015758
precipitation,temp_x_humidity,Meteorology,Meteorology,0.00444101418413783
superfund_proximity,nbr_std_50km,Local sources,Regional PM signal,0.004399360762826283
humidity,traffic_proximity,Meteorology,Local sources,0.004376712181430707
humidity,pressure,Meteorology,Meteorology,0.00436022455558485
nbr_pm25_25km,doy_cos,Regional PM signal,Season & calendar,0.004357509970431924
pressure,pct_people_of_color,Meteorology,Community & EJ context,0.004338450581283888
nbr_std_50km,doy_sin,Regional PM signal,Season & calendar,0.004322583409383094
pressure,aod,Meteorology,Regional PM signal,0.0042920768878050766
humidity,month_sin,Meteorology,Season & calendar,0.004280336664996256
temperature,nbr_std_50km,Meteorology,Regional PM signal,0.0042267619336263385
pct_low_income,aod,Community & EJ context,Regional PM signal,0.004190059903908974
pct_low_income,temp_x_humidity,Community & EJ context,Meteorology,0.004170700888708144
cams_pm25,doy_cos,Regional PM signal,Season & calendar,0.004170035637832314
temperature,aod,Meteorology,Regional PM signal,0.0041693099684427274
temperature,traffic_proximity,Meteorology,Local sources,0.004152460087987071
temperature,dist_to_nearest_sensor,Meteorology,Geography,0.003965773336295905
temperature,doy_sin,Meteorology,Season & calendar,0.003936729066294557
nbr_count_100km,hms_smoke,Regional PM signal,Wildfire smoke,0.003933318153353938
nbr_pm25_100km,wind_x_temp,Regional PM signal,Meteorology,0.00390733669459412
humidity,day_of_year,Meteorology,Season & calendar,0.0038823535893093607
pressure,nbr_count_50km,Meteorology,Regional PM signal,0.0038054274164241782
humidity,pct_ling_isolated,Meteorology,Community & EJ context,0.003776947888922753
ejf_score,aod,Community & EJ context,Regional PM signal,0.0037414185297708277
pct_ling_isolated,aod,Community & EJ context,Regional PM signal,0.0036275751310127606
pressure,diesel_pm_proximity,Meteorology,Local sources,0.003626868517908168
nbr_pm25_100km,month,Regional PM signal,Season & calendar,0.0036076369366699573
humidity,precipitation,Meteorology,Meteorology,0.0035736068489728478
nbr_count_100km,temp_x_humidity,Regional PM signal,Meteorology,0.003563867699430439
nbr_std_50km,month_sin,Regional PM signal,Season & calendar,0.0035523827826005054
nbr_pm25_50km,wind_x_temp,Regional PM signal,Meteorology,0.0035418614966462483
ejf_score,temp_x_humidity,Community & EJ context,Meteorology,0.003526631866127287
precipitation,nbr_std_50km,Meteorology,Regional PM signal,0.0034484471002850783
precipitation,cams_pm25,Meteorology,Regional PM signal,0.0034253873029475466
latitude,temp_x_humidity,Geography,Meteorology,0.00340332818270856
superfund_proximity,aod,Local sources,Regional PM signal,0.003380910555526597
temperature,rmp_proximity,Meteorology,Local sources,0.0033117353416121965
humidity,pct_people_of_color,Meteorology,Community & EJ context,0.0032065860002422255
superfund_proximity,nbr_count_100km,Local sources,Regional PM signal,0.0031989455821487024
nbr_std_50km,doy_cos,Regional PM signal,Season & calendar,0.0031192749505756876
temperature,cams_pm25,Meteorology,Regional PM signal,0.0031167866089502304
cams_pm25,month_sin,Regional PM signal,Season & calendar,0.003038809256847715
nbr_pm25_100km,month_cos,Regional PM signal,Season & calendar,0.0030074936436086234
temperature,temp_x_humidity,Meteorology,Meteorology,0.0029420979997441554
aod,doy_sin,Regional PM signal,Season & calendar,0.00289607395684592
nbr_pm25_25km,wind_x_temp,Regional PM signal,Meteorology,0.00286476409496795
humidity,ejf_score,Meteorology,Community & EJ context,0.002805326355069672
nbr_count_100km,day_of_year,Regional PM signal,Season & calendar,0.002793347355068381
month_sin,temp_x_humidity,Season & calendar,Meteorology,0.0027900341294605424
aod,day_of_year,Regional PM signal,Season & calendar,0.0027556667154467382
superfund_proximity,cams_pm25,Local sources,Regional PM signal,0.002746941213177141
nbr_pm25_25km,month,Regional PM signal,Season & calendar,0.0026731405961409383
rmp_proximity,wind_x_temp,Local sources,Meteorology,0.0026414524739981834
pressure,traffic_proximity,Meteorology,Local sources,0.0026365170333949024
humidity,pct_low_income,Meteorology,Community & EJ context,0.002636147991042348
pressure,pct_low_income,Meteorology,Community & EJ context,0.002633821800033219
superfund_proximity,temp_x_humidity,Local sources,Meteorology,0.0025745158920270337
temperature,nbr_count_50km,Meteorology,Regional PM signal,0.002567706775982975
latitude,day_of_year,Geography,Season & calendar,0.0025458328239193408
longitude,hms_smoke,Geography,Wildfire smoke,0.0025393916047703486
dist_to_nearest_sensor,hms_smoke,Geography,Wildfire smoke,0.002524293886832711
temperature,hms_smoke,Meteorology,Wildfire smoke,0.002517096516589996
pressure,dist_to_nearest_sensor,Meteorology,Geography,0.0024852584519014
hms_smoke,temp_x_humidity,Wildfire smoke,Meteorology,0.0024754846929216853
pct_people_of_color,doy_cos,Community & EJ context,Season & calendar,0.0024676265466083954
humidity,dist_to_nearest_sensor,Meteorology,Geography,0.002467521699514196
temperature,pct_ling_isolated,Meteorology,Community & EJ context,0.0024554587216268423
temp_x_humidity,wind_x_temp,Meteorology,Meteorology,0.0024516875508060467
humidity,doy_cos,Meteorology,Season & calendar,0.0024487513168419996
humidity,doy_sin,Meteorology,Season & calendar,0.002446666680667809
hms_smoke,doy_sin,Wildfire smoke,Season & calendar,0.0024386712530251
temperature,nbr_count_25km,Meteorology,Regional PM signal,0.0024194234154124644
temperature,dist_to_coast,Meteorology,Geography,0.0023607367513873677
pressure,ejf_score,Meteorology,Community & EJ context,0.002337336786857376
wind_speed,nbr_pm25_50km,Meteorology,Regional PM signal,0.002337334453500866
dist_to_coast,hms_smoke,Geography,Wildfire smoke,0.0023001165516997684
latitude,doy_sin,Geography,Season & calendar,0.0022801355099253406
rmp_proximity,hms_smoke,Local sources,Wildfire smoke,0.0022747110943066146
nbr_std_50km,wind_x_temp,Regional PM signal,Meteorology,0.0022526682061609184
nbr_pm25_50km,month_cos,Regional PM signal,Season & calendar,0.002192972685888305
wind_speed,nbr_pm25_100km,Meteorology,Regional PM signal,0.0021849187024754043
pct_low_income,day_of_year,Community & EJ context,Season & calendar,0.002149397711708867
precipitation,rmp_proximity,Meteorology,Local sources,0.002148018969644938
temperature,longitude,Meteorology,Geography,0.0021464528399075516
wind_speed,nbr_pm25_25km,Meteorology,Regional PM signal,0.0021421546771784945
longitude,day_of_year,Geography,Season & calendar,0.0021192354732585956
nbr_count_100km,doy_sin,Regional PM signal,Season & calendar,0.0021175138443381074
pct_low_income,hms_smoke,Community & EJ context,Wildfire smoke,0.002113281051075777
temperature,pct_people_of_color,Meteorology,Community & EJ context,0.002080352222474413
cams_pm25,month_cos,Regional PM signal,Season & calendar,0.0020621293760733597
temperature,latitude,Meteorology,Geography,0.002053814940586907
pressure,nbr_count_25km,Meteorology,Regional PM signal,0.002032614210325248
latitude,hms_smoke,Geography,Wildfire smoke,0.0020042765230060774
pct_ling_isolated,hms_smoke,Community & EJ context,Wildfire smoke,0.001999675039317423
traffic_proximity,hms_smoke,Local sources,Wildfire smoke,0.00199682457425812
traffic_proximity,day_of_year,Local sources,Season & calendar,0.0019936849963282923
precipitation,dist_to_coast,Meteorology,Geography,0.0019436148277808573
temperature,nbr_count_100km,Meteorology,Regional PM signal,0.0019249073924327803
diesel_pm_proximity,doy_sin,Local sources,Season & calendar,0.0019195423845900774
precipitation,longitude,Meteorology,Geography,0.001908754783505063
cams_pm25,month,Regional PM signal,Season & calendar,0.00189259214075633
cams_pm25,wind_x_temp,Regional PM signal,Meteorology,0.0018651610824686297
nbr_count_50km,day_of_year,Regional PM signal,Season & calendar,0.0018650063907371694
nbr_pm25_25km,month_cos,Regional PM signal,Season & calendar,0.0018447166912846707
dist_to_coast,day_of_year,Geography,Season & calendar,0.001829149043343888
dist_to_coast,doy_sin,Geography,Season & calendar,0.0018078041962725012
pct_ling_isolated,wind_x_temp,Community & EJ context,Meteorology,0.0018072175410309963
latitude,wind_x_temp,Geography,Meteorology,0.0018063128615865664
longitude,wind_x_temp,Geography,Meteorology,0.0018027270923806548
doy_cos,temp_x_humidity,Season & calendar,Meteorology,0.001796316029547319
nbr_count_25km,hms_smoke,Regional PM signal,Wildfire smoke,0.0017938725842893155
nbr_std_50km,month,Regional PM signal,Season & calendar,0.001787877999852132
longitude,doy_sin,Geography,Season & calendar,0.0017694115793923933
doy_sin,doy_cos,Season & calendar,Season & calendar,0.001753750817874613
ejf_score,doy_cos,Community & EJ context,Season & calendar,0.0017468449094790598
pct_people_of_color,hms_smoke,Community & EJ context,Wildfire smoke,0.0017353785428553083
temperature,precipitation,Meteorology,Meteorology,0.0017325286131768764
pct_ling_isolated,day_of_year,Community & EJ context,Season & calendar,0.0016912303530644802
wind_speed,nbr_std_50km,Meteorology,Regional PM signal,0.001689025095497417
nbr_std_50km,month_cos,Regional PM signal,Season & calendar,0.0016875026571686199
precipitation,hms_smoke,Meteorology,Wildfire smoke,0.0016749252277430502
aod,doy_cos,Regional PM signal,Season & calendar,0.0016693561555336152
day_of_year,doy_sin,Season & calendar,Season & calendar,0.001654861570548327
nbr_count_50km,doy_sin,Regional PM signal,Season & calendar,0.0016395892146050738
temperature,pct_low_income,Meteorology,Community & EJ context,0.0016254305047577356
pct_people_of_color,doy_sin,Community & EJ context,Season & calendar,0.0016231427643217497
day_of_year,doy_cos,Season & calendar,Season & calendar,0.0016159386832018873
month_cos,temp_x_humidity,Season & calendar,Meteorology,0.001602093662517111
humidity,superfund_proximity,Meteorology,Local sources,0.001583258371950718
longitude,month_sin,Geography,Season & calendar,0.001574121976633269
hms_smoke,doy_cos,Wildfire smoke,Season & calendar,0.0015520640721240597
wind_speed,longitude,Meteorology,Geography,0.0015502494736179969
precipitation,pct_low_income,Meteorology,Community & EJ context,0.0015464153482076233
rmp_proximity,doy_sin,Local sources,Season & calendar,0.0015370012819572714
diesel_pm_proximity,day_of_year,Local sources,Season & calendar,0.001533145137708368
pressure,day_of_year,Meteorology,Season & calendar,0.0015207059212390519
nbr_count_100km,month_sin,Regional PM signal,Season & calendar,0.0015143448356492984
pressure,doy_sin,Meteorology,Season & calendar,0.001510632060130845
day_of_year,wind_x_temp,Season & calendar,Meteorology,0.0014980540578325915
humidity,wind_x_temp,Meteorology,Meteorology,0.0014962254617088488
nbr_count_25km,day_of_year,Regional PM signal,Season & calendar,0.0014946414746443658
pct_low_income,doy_sin,Community & EJ context,Season & calendar,0.0014815044987281814
traffic_proximity,wind_x_temp,Local sources,Meteorology,0.0014789551563775408
precipitation,ejf_score,Meteorology,Community & EJ context,0.0014711169506175443
pct_people_of_color,day_of_year,Community & EJ context,Season & calendar,0.0014708040612179311
precipitation,pct_people_of_color,Meteorology,Community & EJ context,0.0014613581992974152
month,temp_x_humidity,Season & calendar,Meteorology,0.0014580412338420562
diesel_pm_proximity,wind_x_temp,Local sources,Meteorology,0.0014565972329345794
precipitation,latitude,Meteorology,Geography,0.0014422953358441016
rmp_proximity,doy_cos,Local sources,Season & calendar,0.0014285870706603212
temperature,doy_cos,Meteorology,Season & calendar,0.001406750625573443
temperature,ejf_score,Meteorology,Community & EJ context,0.0013856412311272926
dist_to_coast,month,Geography,Season & calendar,0.001383365352098688
precipitation,nbr_count_50km,Meteorology,Regional PM signal,0.0013740588229371811
pressure,hms_smoke,Meteorology,Wildfire smoke,0.0013716505842296931
traffic_proximity,doy_sin,Local sources,Season & calendar,0.0013674705677576837
aod,month_sin,Regional PM signal,Season & calendar,0.0013664822491573027
precipitation,pct_ling_isolated,Meteorology,Community & EJ context,0.0013590429229541382
precipitation,diesel_pm_proximity,Meteorology,Local sources,0.001357950753731028
pressure,precipitation,Meteorology,Meteorology,0.0013458159233744938
pct_ling_isolated,doy_cos,Community & EJ context,Season & calendar,0.001322201651278268
precipitation,nbr_count_100km,Meteorology,Regional PM signal,0.0013204615318377958
humidity,month_cos,Meteorology,Season & calendar,0.0013118256860340956
ejf_score,hms_smoke,Community & EJ context,Wildfire smoke,0.001283512791840153
rmp_proximity,day_of_year,Local sources,Season & calendar,0.001271830334989881
nbr_count_50km,month_sin,Regional PM signal,Season & calendar,0.0012716608767887943
hms_smoke,day_of_year,Wildfire smoke,Season & calendar,0.0012715195991574424
nbr_count_100km,month,Regional PM signal,Season & calendar,0.0012677298245389748
traffic_proximity,doy_cos,Local sources,Season & calendar,0.0012625893578981648
pressure,superfund_proximity,Meteorology,Local sources,0.0012622248294820828
precipitation,doy_sin,Meteorology,Season & calendar,0.001255440773207377
aod,month_cos,Regional PM signal,Season & calendar,0.0012388074718658543
dist_to_coast,month_sin,Geography,Season & calendar,0.0012385309121804957
doy_sin,wind_x_temp,Season & calendar,Meteorology,0.0012357495235172159
temperature,month_sin,Meteorology,Season & calendar,0.0012354240287610872
ejf_score,doy_sin,Community & EJ context,Season & calendar,0.00123507271376456
longitude,doy_cos,Geography,Season & calendar,0.0012302234300677678
humidity,month,Meteorology,Season & calendar,0.0012289394016479292
precipitation,month_sin,Meteorology,Season & calendar,0.0012212029213540937
aod,wind_x_temp,Regional PM signal,Meteorology,0.001220542560494601
precipitation,day_of_year,Meteorology,Season & calendar,0.0012186855405829106
temperature,pressure,Meteorology,Meteorology,0.0012173457075430583
dist_to_coast,doy_cos,Geography,Season & calendar,0.001211108905106161
aod,month,Regional PM signal,Season & calendar,0.0011961312942421428
nbr_count_100km,doy_cos,Regional PM signal,Season & calendar,0.0011948406436334605
latitude,month,Geography,Season & calendar,0.0011899378410233793
ejf_score,day_of_year,Community & EJ context,Season & calendar,0.0011874698715874544
nbr_count_25km,doy_sin,Regional PM signal,Season & calendar,0.0011721107153499744
pct_low_income,wind_x_temp,Community & EJ context,Meteorology,0.001164305457197338
dist_to_coast,wind_x_temp,Geography,Meteorology,0.0011618726576581848
wind_speed,dist_to_coast,Meteorology,Geography,0.0011456276375914807
month_sin,doy_sin,Season & calendar,Season & calendar,0.0011370667455085821
precipitation,traffic_proximity,Meteorology,Local sources,0.0011288880734157223
